prompt_id,prompt_uid,image_path,prompt_status,image_status,qc_status,intended_score_band,intended_coarse_class,intended_representative_score,reviewed_score_band,reviewed_coarse_class,final_score_band,final_coarse_class,training_score_band,training_coarse_class,training_representative_score,training_label_source,prompt_title,prompt_model,band_spec_file,qc_notes,damage_profile_primary,damage_profile_secondary,damage_location_primary,box_form_factor,box_pattern,label_presence,tape_profile,background_context,camera_angle,lighting_style
1,prompt_2e8326cba4004d2e,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_d0ea311b53d54081.png,approved,generated,unreviewed,0-10,intact,5,,,,,0-10,intact,5,intended_unreviewed,Intact porch mailer with faint scuffs,gpt-5.4-mini,00-10-intact.md,,visually_intact,tiny_handling_scuffs,top_flap_edge,flat_mailer_box,tape_heavy_plain,multiple_small_stickers,single_center_tape,outdoor_doorstep,slightly_top_down,harsh_side_shadow
2,prompt_40922f20798d41da,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_2c879625f5e1414b.png,approved,generated,accepted_as_labeled,0-10,intact,5,0-10,intact,0-10,intact,0-10,intact,5,intended_reviewed_match,Plain long box with no visible damage,gpt-5.4-mini,00-10-intact.md,Clean intact long box; good 0-10 anchor.,visually_intact,tiny_handling_scuffs,top_flap_edge,long_rectangular,shipping_label_patch,no_visible_label,minimal_tape,delivery_sorting_table,three_quarter_right,soft_even
3,prompt_eb2e66e0a3ee49df,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_258fd32f3798497c.png,approved,generated,unreviewed,0-10,intact,5,,,,,0-10,intact,5,intended_unreviewed,Tall box with subtle top-corner wear,gpt-5.4-mini,00-10-intact.md,,visually_intact,none,front_top_left_corner,tall_rectangular,recycled_patchwork_cardboard,no_visible_label,minimal_tape,plain_studio_floor,front_eye_level,mixed_indoor
4,prompt_5e578a4f02044988,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_e2b87f0a0d9a47d3.png,approved,generated,unreviewed,0-10,intact,5,,,,,0-10,intact,5,intended_unreviewed,Medium box with slight edge wear,gpt-5.4-mini,00-10-intact.md,,visually_intact,tiny_handling_scuffs,front_bottom_right_corner,medium_standard,tape_heavy_plain,multiple_small_stickers,reinforced_edge_tape,plain_studio_floor,front_eye_level,harsh_side_shadow
5,prompt_47d1cfc2eb534457,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_866054f9a72b481e.png,approved,generated,unreviewed,0-10,intact,5,,,,,0-10,intact,5,intended_unreviewed,Small cube box with pristine side panel,gpt-5.4-mini,00-10-intact.md,,visually_intact,none,left_side_panel,small_cube,shipping_label_patch,small_shipping_label,cross_tape,delivery_sorting_table,three_quarter_left,soft_even
7,prompt_894c986e5e594e95,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_e1e0ba26cd114283.png,approved,generated,accepted_as_labeled,11-20,minor,15,11-20,minor,11-20,minor,11-20,minor,15,intended_reviewed_match,Softened corner on a small cube box,gpt-5.4-mini,11-20-minor-low.md,Subtle localized softened corner; acceptable low-minor example.,light_corner_softening,none,front_bottom_right_corner,small_cube,recycled_patchwork_cardboard,no_visible_label,cross_tape,delivery_sorting_table,low_angle_front,soft_even
8,prompt_65cc48b49b244085,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_7108cd873b3d45bf.png,approved,generated,unreviewed,11-20,minor,15,,,,,11-20,minor,15,intended_unreviewed,Light crease along the top flap edge,gpt-5.4-mini,11-20-minor-low.md,,light_edge_crease,tiny_handling_scuffs,top_flap_edge,tall_rectangular,tape_heavy_plain,small_shipping_label,cross_tape,delivery_sorting_table,low_angle_front,soft_even
9,prompt_b296cfefa79346a6,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_956ad6f13e644aae.png,approved,generated,unreviewed,11-20,minor,15,,,,,11-20,minor,15,intended_unreviewed,Small front-face dent with slight crease cluster,gpt-5.4-mini,11-20-minor-low.md,,small_face_dent,light_crease_cluster,front_face_center,flat_mailer_box,subtle_printed_markings,small_shipping_label,old_peeling_tape,packing_station,three_quarter_right,harsh_side_shadow
10,prompt_c5a918078780452e,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_3f94f47317344a87.png,approved,generated,unreviewed,11-20,minor,15,,,,,11-20,minor,15,intended_unreviewed,Softened front-bottom-left corner on a plain studio box,gpt-5.4-mini,11-20-minor-low.md,,light_corner_softening,tiny_handling_scuffs,front_bottom_left_corner,medium_standard,recycled_patchwork_cardboard,barcode_label_only,minimal_tape,plain_studio_floor,three_quarter_left,dim_ambient
11,prompt_6bbc6fcb17de4f91,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_f6628e88a19440d4.png,approved,generated,unreviewed,21-30,minor,25,,,,,21-30,minor,25,intended_unreviewed,Minor fray on mailer corner,gpt-5.4-mini,21-30-minor-mid.md,,small_corner_fray,tiny_handling_scuffs,front_bottom_right_corner,flat_mailer_box,tape_heavy_plain,barcode_label_only,reinforced_edge_tape,plain_studio_floor,slightly_top_down,soft_even
