image_id,image_path,source_dataset,original_label,llm_score_band,llm_representative_score,llm_coarse_class,llm_reasoning,human_score_band,human_representative_score,human_coarse_class,final_score_band,final_representative_score,final_coarse_class,review_status,disagreement_flag,review_notes,split
real_redf0xwin_0001,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0001.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:7;hole:3,,,,,76-85,80,severe,76-85,80,severe,labeled,,,
real_redf0xwin_0002,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0002.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:4,,,,,,,,,,,in_review,,,
real_redf0xwin_0003,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0003.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:8,,,,,,,,,,,pending,,,
real_redf0xwin_0004,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0004.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:10;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0005,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0005.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:7;hole:4,,,,,,,,,,,pending,,,
real_redf0xwin_0006,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0006.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:3;hole:6,,,,,,,,,,,pending,,,
real_redf0xwin_0007,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0007.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:7;hole:4,,,,,,,,,,,pending,,,
real_redf0xwin_0008,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0008.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:6;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0009,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0009.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:13,,,,,,,,,,,pending,,,
real_redf0xwin_0010,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0010.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:9;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0011,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0011.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0012,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0012.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0013,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0013.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0014,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0014.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0015,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0015.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0016,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0016.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0017,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0017.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,hole:3,,,,,,,,,,,pending,,,
real_redf0xwin_0018,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0018.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:1;hole:3,,,,,,,,,,,pending,,,
real_redf0xwin_0019,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0019.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0020,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0020.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:1;hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0021,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0021.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:2,,,,,,,,,,,pending,,,
real_redf0xwin_0022,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0022.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0023,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0023.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0024,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0024.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:1;hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0025,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0025.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:5;dirt:5;hole:10,,,,,,,,,,,pending,,,
real_redf0xwin_0026,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0026.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:5;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0027,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0027.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:21;dirt:3;hole:4,,,,,,,,,,,pending,,,
real_redf0xwin_0028,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0028.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:1;dirt:1,,,,,,,,,,,pending,,,
real_redf0xwin_0029,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0029.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:11;hole:3,,,,,,,,,,,pending,,,
